id	cate1_id	cate2_id	cate3_id
4e831840d747b25bdb3610c83ebd9680	2319	157	157
fd6ae119fb8956ea3e8b43e7ec9aa7f8	1230	4	125
65f87ace32f94176f6dd6e14896d8ed6	591	607	737
cea4cd3a65e54ece684cc4107f6441d9	1648	1650	543
b3352a3e0319a4d90db0833ccd73eb9c	591	593	617
e3accc0c83149b250aa06ce7fe223bdf	562	1622	1622
c39d9c4a706b19d75d1dc5b45966cd6e	3	361	424
a5d69fe3c8c4847ed759a1cdbd5e6609	1454	461	513
d0b7f2a36b6838fe81fcee29d2f410a2	1230	1920	234
46ae612990c63678d0701e5c1185194b	3	2343	106
e52b17cd2aba3b04d8a33f14ecf42b36	3	361	424
ad7d2d8d5aa4a8925205cf5ae7f1aff6	1472	499	499
edae9e64b6e828bbedad2f86de726548	449	464	464
3c0d1488c257f6c139d525cfa0f811e8	1454	460	507
e558d92aaf3cbae003aa7a54bf660fcb	5	1945	151
7562565d95db6cfb49f280454b51e51f	3	22	1374
65f717f35f84a1933202d735dafbeaee	1230	477	50
3281e0898b63a9f535f2546f0ad5a84d	562	566	566
db035b7e56ddb20ba836be31d8e5732a	1472	499	499
1ef8acc1d00abd7e5dd5f2da241de6e0	1472	1476	506
7b6b3ec6b8e96964f7896010c4d980de	1648	526	526
674540d06ed378e743658d631b6dc175	1472	1476	506
b3b36beac43a0dfbde47d1c6278172c4	5	37	258
ea4b0fe12b48d7c658b9cc62497cf614	1230	1	297
ca11c5cd14c3b63f8f08143b07f75e8d	591	604	707
2b53adf4096c1fffebe3b770e8bb6a71	449	479	479
edf0fb33f64e230b5c97b4fb98aff5a7	571	2166	2166
6ca95912314543d2b71220befe7538d7	2	2122	18
9e5c04e6678070ac64a888a3a1d64d4c	591	593	619
dc6e83fb659e6f35448bf0cb7e997e53	1230	1231	301
371800fc3a00d3d50ceed1fa8e0557ba	591	593	610
93611568bb34ef279c6f63333a022901	1454	461	1686
cfb6c6ca67b07175717fcc2513fa6b46	393	609	749
931ee178d3cc492ea882072473af9260	6	304	304
3303efbdebd6476faa25a74a522b92ba	3	361	384
931804bf9e7649d8ad996294203c8b58	3	361	370
e12183efa3eada32eede79b436c26f57	1648	1660	932
c16e529872f2758ea78f294d365577e2	449	453	487
a78a5c650403f51c5b278747d54ecd03	591	594	643
fd80bc7666a46acedb13a88ef90ae0f4	1230	1	72
2edfba11018b7a5c5af1373d97e27e9c	2	212	212
c12a3472c9e5637258723a35f6f4d842	1472	499	499
05976ab945eaac537c1a87b92bba2162	1472	504	504
e8840f1f0661ddfcb8f3a22eca7a6f37	1242	1144	1197
2e48e1b30e8fbc2965d6ee0efbe3abd0	3	361	2179
487bc344b0eac9e38c802e85fc85ee42	5	37	165
7369c3e4dcf9179501a90abc83b336a4	3	760	385
ace08af19a59147489903a7c926da455	5	1945	215
0bc9fc5a1295125c403a567df7910b44	1230	4	131
0a2694cd9f3a37522a9ef003945376f3	1230	1	64
c9d3ece04b2ed993b99520aeca276377	591	607	737
ffe72c179fc3b6dbea1ca791eb6cd767	3	760	385
99a753b7497b976cf51157a7868b21f8	1230	1	48
8ae2d8768b4daebf02a03a6f58e99532	1472	1476	506
807d94f78c1c8ac88ab9fd080a4c6205	1648	541	541
8f3078f1d92e43132453968fe8096ca6	571	2156	574
074c240b503243bd40b487a37ef0b637	1230	1	67
a7681b4ee7e3f25e4701e9af23763cfb	591	603	704
99cb89850cbc26f28348721bc849bd41	449	480	480
8559aef6a0e5717b620365abe0b4ddcd	1230	1	53
78734487fe8449e07cfdb68043875292	5	34	149
fb18ee4a239bdf095ca030861bee204a	3	23	426
a5a3a73a3eedff2d65c8791a0f822196	3	23	1367
e48b8b0859cf585ad6633a7671f1a2e0	5	37	215
957b8a679d89092c286527b7e2b2edc4	591	604	707
66ca4d4ab1f4e84ced4247a1e88a5dae	571	2156	572
917739c0201cc4d4aeb0d6144799ce20	571	576	576
2667741504ddbaf3d451d032d9a5c900	2	14	14
7ea07e47c848a896d0d14bd8a8115f0b	3	22	94
7af5caa14b021b1db0220d89d0cb6424	449	2328	297
02e5ebff3e3282a56276498579f85dd5	571	2156	573
efd77374962e075b75bf2e724dbfffd4	2	279	279
e4702e1d700f222bef1526c6d483acfa	5	1945	415
64be0f6744227fc199cdcb501cad8eb4	6	198	198
4da12a00449ff1ba6ab2497dc857ef98	1648	530	530
c9463fcdf710ce3b1c218c76c380a840	591	593	611
9e1267e73d4e3261a0c8af0121129258	1648	540	540
cb5b5e64809ccd0a352e0db5e5c5de30	1472	1476	506
dbe631df9a869f450a15173a3d757d73	1648	1660	932
d87b3349688ec2822c173c061ab37042	2	2122	18
a32cf3b8dd43916fbf9318d1caca1d27	3	760	385
36edb35b0c04fa1fadfccd9bc685759d	5	1945	152
35fd4c87f0b82116e33688af40eabf57	591	593	619
4be7fa410782a41f6b3f3a3666b7be16	449	477	477
e137da1509d6891eb59bf571ef27392d	6	179	179
fc834e3a0637ac13070f8d518111e947	449	479	479
b3594ef1119445955509cda385ee0e4c	449	471	471
69b8616465a412ee5555b5b49cbac88f	1230	1920	234
eb95042768364311fac0f6390807679d	3	23	92
f612917018ce76fc5c2cb54917753d1d	5	34	149
bd5bb71d3df2499888baa31bc12910c2	591	604	707
63e29918c61efbaca2decd2819517bc3	393	959	1016
18b4edaa43c001669090c384e74e3bb4	5	1765	284
b8bdc6c8c740e235fdb446f6aa21b776	3	22	95
8c750f6a44ed42f6ef41fba42234236e	5	1764	273
ba9079f9712e7ba6b7a378d9180d6e3c	1472	1476	506
b1d68019e6a71da787d4bff7575f0933	571	2156	2158
2464794282e4de2c21fcbea9c7cfbc18	562	563	563
bcf8c71ce1a3824e2808b18027e07217	6	2439	303
2d686289d2fe5e0d87eef20e84a9aa11	1230	1231	73
b76a97dd84890fc916cfcf1e97c76592	3	361	384
0fd04cb6fffca16e289a7a5ea1b9a98a	3	2341	2184
b41bc2e0fe3268b12a6832cb9a6419f5	393	524	550
85f86b71cacc434c0ddd548a452af695	591	602	680
c09959a4bb807c9df62580f8f5a04110	1648	540	540
e0ce9333403f9374175910114cea1edf	571	2156	572
062c681f48ce59c4d21e2a00626f0c5d	3	361	424
2fedb1b0ce391b0c6eaa208284231547	591	593	615
3989f5a65f3b8d9d8b9a36146ca8d08d	3	361	427
821edcbf352d848bb16b482e1f48f5f7	2	20	272
3c7bbd1e1a3ade38344044da9ba5b87f	5	37	167
67bca7d6201e7fa4dcb0476f92dadbf9	449	479	479
8e8bf3a7686f1a9bdb68aaef87eb7e69	3	760	386
712ff9dc0ab4487799211205a23738a4	571	2156	573
a57bdf9bf189e7b9d0c0632137259d6e	1230	1231	252
06c39a3e2fe85c775ec432125f558a83	5	36	161
ec9cdebf9c2a4917e4fd6876f00e07c9	5	38	1982
7fb8775ebd69c902ca1f98bb4597fcce	591	593	617
fca9ea3aa2ed0944ac31a493997924f6	7	268	268
d21964ab10a5264f5ed04fc3858af710	5	1945	152
f8c75ed852a0d616cef8f42a81c3560d	562	567	567
20d00e035049a6a5f987719c3c18268c	1472	1473	505
0840f93060d30075be0f3f69969ecd2b	1472	1476	506
69f6b60e64348e08df4b00dfc96c8d16	6	198	198
10ebaa994f01cbbe2648aa4acea7d596	449	469	469
ff74e0dc0ebd02d4e1ef20a2ebf4efbc	571	2156	2158
e28ad9c5a1604309ca621ee6893f6b78	5	38	173
602efb783958ff12039ff92e8d3311b4	2	20	81
3303d93e82bce875e89e79a9d11c2a51	1230	217	219
ddb243c1f3fb014ddc91e82f4b052e10	591	2383	635
9e2e4732a4dff13b94feccff3ddfd416	591	604	707
ec275cc980cbd7c2bbbd6fd2e444c5cd	3	361	384
27d8af5141b49344d1edb349882e85c8	1230	1	51
fb3779dfa0771f6accd4cdf882be2af8	6	2439	181
44644f08d4856c0235dcebb36407cf29	3	361	384
13c5eec3f9d47c8c13378561d3f8a269	1472	498	498
a0e4296c1de1a9e48c9e2b32932f3241	1648	540	540
0dc441fc9b1e2d0c93ab37c5eab8ba8c	1552	1553	1554
7d2424ee68e777da92c4fe75870e873d	449	475	475
b67289e028ad9d6b88c0a34a8d41425b	571	2156	572
2c830be74d25e0d4d93c29c52e30e8a7	7	197	197
ccaef25abc3fbe1074dd6e22c920c0e2	591	593	615
6b70b3ae664b52dd3607c0b5c79ed0e4	449	473	473
46f613397160546b709e87d7082683f7	591	602	682
257a8f38f91ec7627bb5f87fb24ac542	7	196	196
9db0b47013a57016d31c49f3b7356c16	3	24	441
10e9299d92ec343ba69ac54812a52f4a	1454	460	2327
73ac911bee2bcded880351edea6996a8	449	453	737
